@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2020/09/17 12:21:28:852',1,0,?
2,'2020/09/17 12:21:29:688',1,0,?
3,'2020/09/17 12:21:30:895',1,0,?
4,'2020/09/17 12:21:31:081',1,0,?
5,'2020/09/17 12:21:32:196',1,0,?
6,'2020/09/17 12:21:37:304',2,0,?
7,'2020/09/17 12:21:37:768',2,0,?
8,'2020/09/17 12:21:39:718',2,0,?
9,'2020/09/17 12:21:45:477',3,0,?
10,'2020/09/17 12:21:47:056',3,0,?
11,'2020/09/17 12:21:51:978',4,0,?
12,'2020/09/17 12:21:53:000',4,0,?
13,'2020/09/17 12:21:53:278',4,0,?
14,'2020/09/17 12:21:53:742',4,0,?
15,'2020/09/17 12:21:54:207',4,0,?
16,'2020/09/17 12:22:26:156',5,0,?
17,'2020/09/17 12:22:27:550',5,0,?
18,'2020/09/17 12:22:27:828',5,0,?
19,'2020/09/17 12:22:33:308',6,0,?
20,'2020/09/17 12:22:34:422',6,0,?
21,'2020/09/17 12:22:34:887',6,0,?
22,'2020/09/17 12:22:40:274',7,0,?
23,'2020/09/17 12:22:40:738',7,0,?
24,'2020/09/17 12:22:41:759',7,0,?
25,'2020/09/17 12:22:42:224',7,0,?
26,'2020/09/17 12:24:42:684',8,0,?
27,'2020/09/17 12:25:13:426',9,0,?
28,'2020/09/17 12:25:13:798',9,0,?
29,'2020/09/17 12:25:14:262',9,0,?
30,'2020/09/17 12:25:20:485',10,0,?
31,'2020/09/17 12:25:41:382',11,0,?
32,'2020/09/17 12:25:42:497',11,0,?
33,'2020/09/17 12:25:42:775',11,0,?
34,'2020/09/17 12:25:44:075',11,0,?
35,'2020/09/17 12:25:44:447',11,0,?
36,'2020/09/17 12:25:50:484',12,0,?
37,'2020/09/17 12:25:50:855',12,0,?
38,'2020/09/17 12:25:51:877',12,0,?
39,'2020/09/17 12:25:52:063',12,0,?
40,'2020/09/17 12:25:53:084',12,0,?
41,'2020/09/17 12:26:25:963',13,0,?
42,'2020/09/17 12:26:27:170',13,0,?
43,'2020/09/17 12:26:32:000',14,0,?
44,'2020/09/17 12:26:32:464',14,0,?
45,'2020/09/17 12:26:33:300',14,0,?
46,'2020/09/17 12:26:34:043',14,0,?
47,'2020/09/17 12:26:34:693',14,0,?
48,'2020/09/17 12:26:34:786',14,0,?
49,'2020/09/17 12:27:27:400',15,55.074459,?
50,'2020/09/17 12:27:28:514',15,54.96452,?
51,'2020/09/17 12:27:32:137',16,43.141708,?
52,'2020/09/17 12:27:32:230',16,62.007156,?
53,'2020/09/17 12:27:33:344',16,61.993378,?
54,'2020/09/17 12:27:37:152',17,68.937408,?
55,'2020/09/17 12:27:38:081',17,68.951851,?
56,'2020/09/17 12:27:41:982',18,76.040604,?
57,'2020/09/17 12:27:42:725',18,76.032448,?
58,'2020/09/18 11:13:19:451',19,54.898602,1
59,'2020/09/18 11:13:20:658',19,55.847958,1
60,'2020/09/18 11:13:21:401',19,50.622486,1
61,'2020/09/18 11:13:21:680',19,57.086533,1
62,'2020/09/18 11:13:22:702',19,58.125969,1
63,'2020/09/18 11:13:23:538',19,36.065235,1
64,'2020/09/18 11:13:23:630',19,59.091209,1
65,'2020/09/18 11:13:24:188',19,47.252842,1
66,'2020/09/18 11:13:24:745',19,59.889366,1
67,'2020/09/18 11:13:25:952',19,60.705833,1
68,'2020/09/18 11:13:26:324',19,61.050808,1
69,'2020/09/18 11:13:26:695',19,49.045666,1
70,'2020/09/18 11:13:26:881',19,60.979568,1
71,'2020/09/18 11:13:26:974',19,42.302879,1
72,'2020/09/18 11:13:27:067',19,60.919682,1
73,'2020/09/18 11:13:41:091',20,50.488354,2
74,'2020/09/18 11:13:41:277',20,41.18129,2
75,'2020/09/18 11:13:41:463',20,46.410965,2
76,'2020/09/18 11:13:42:206',20,73.926651,2
77,'2020/09/18 11:13:42:299',20,61.965782,2
78,'2020/09/18 11:13:43:506',20,63,2
79,'2020/09/18 11:13:44:156',20,51.455284,2
80,'2020/09/18 11:13:44:435',20,63.972778,2
81,'2020/09/18 11:13:45:178',20,65.086494,2
82,'2020/09/18 11:13:45:921',20,66.217606,2
83,'2020/09/18 11:13:46:571',20,67.226387,2
84,'2020/09/18 11:13:47:407',20,68.359505,2
